,Datetime,Timestamp,Marketcap,Price,TxFee,Bonded_Ratio,FeeValue,AggValue
0,2022-12-01,1669935613798,3064586333.093101,10.4756585639399,62.136251,62.15,650.9181499192692,2.124000041670533e-07
1,2022-12-02,1670022053529,3029031631.617938,10.393187993375133,106.361723,62.15,1105.4373824382917,3.649474541300281e-07
2,2022-12-03,1670108501760,3027571113.8634653,10.39219073849042,106.830668,62.58,1110.204678576345,3.666981341883724e-07
3,2022-12-04,1670194877741,2998060813.7283764,10.265500697840524,105.848331,63.0,1086.5861157457548,3.6242964477911327e-07
4,2022-12-05,1670281251891,3092738506.6129947,10.540746683809088,139.168121,63.01,1466.935909922692,4.7431617861841265e-07
5,2022-12-06,1670367611826,3029218786.8468246,10.37609348533968,201.087397,63.01,2086.501629995614,6.887919879063922e-07
6,2022-12-07,1670454056975,2971515827.0193367,10.170524362516378,113.007854,63.04,1149.349132262694,3.8678883074150786e-07
7,2022-12-08,1670540463124,2879783627.3420773,9.834406500472063,146.72684,63.0,1442.9713890897244,5.010693773620514e-07
8,2022-12-09,1670626904169,2893563467.193985,9.877890265144156,138.427824,62.99,1367.3748551146884,4.725574090969194e-07
9,2022-12-10,1670713259136,2951904502.5709777,9.99318981380112,164.214058,62.88,1641.0222516885462,5.559198308276195e-07
10,2022-12-11,1670799664313,2918513717.499681,9.971696873257518,175.087039,62.73,1745.914879344217,5.982205493417928e-07
11,2022-12-12,1670886133268,2823754138.9623537,9.651114281826692,153.418241,62.67,1480.6569768078293,5.243576118676986e-07
12,2022-12-13,1670972531739,2877377682.2718763,9.817864686888386,126.638528,62.72,1243.319932050726,4.3210175004521627e-07
13,2022-12-14,1671058930474,2900097426.771281,9.995235071553918,114.850165,62.76,1147.9543971817543,3.958330456710856e-07
14,2022-12-15,1671145205699,2826465278.1530786,9.66707856123919,111.064317,62.81,1073.6674777893734,3.7986225625631926e-07
15,2022-12-16,1671231719234,2782782617.1276493,9.510472527860728,116.002481,62.83,1103.238408714186,3.964515237100819e-07
16,2022-12-17,1671318183098,2567822813.894068,8.785601635487865,115.159216,62.85,1011.7429964311003,3.9400810326815583e-07
17,2022-12-18,1671404484618,2605257319.295054,8.901785773392652,103.379559,62.86,920.2626875658062,3.532329343248199e-07
18,2022-12-19,1671490886303,2610330280.059585,8.917544387378143,123.031226,62.86,1097.1364188885518,4.203055939969052e-07
19,2022-12-20,1671577283753,2627498117.9681506,8.975099537682064,108.707709,62.83,975.6625087883764,3.7132757664650893e-07
20,2022-12-21,1671663623838,2641864883.9809465,9.045374343271645,103.805022,62.86,938.9552827015485,3.5541381710886936e-07
21,2022-12-22,1671750062205,2624898541.2223363,8.970782518553325,104.672926,62.86,938.9980547266258,3.577273711651204e-07
22,2022-12-23,1671836517316,2638648265.4157834,9.025960797688064,100.66552,62.87,908.6030371988838,3.4434412843415157e-07
23,2022-12-24,1671922855728,2640839197.209148,9.02790960329919,78.93577,62.87,712.6249960268161,2.6984793196795993e-07
24,2022-12-25,1672009258907,2645502039.341424,9.040891521973816,82.036105,62.79,741.6795261902538,2.8035492513734323e-07
25,2022-12-26,1672095712386,2669552667.52013,9.12307976280773,102.762573,62.58,937.5111501103521,3.511866094708853e-07
26,2022-12-27,1672182010838,2737536759.8924665,9.400804190210106,164.238949,62.6,1543.9781999549039,5.640027277717918e-07
27,2022-12-28,1672268442274,2693205663.561644,9.241082145253031,108.20549,62.55,999.9358216573554,3.712808996305856e-07
28,2022-12-29,1672354924427,2737086286.530936,9.352259432818563,137.201213,62.35,1283.141338473399,4.687982782229676e-07
29,2022-12-30,1672441226411,2747414357.35168,9.386862875589484,117.833471,62.4,1106.08663443175,4.0259185203426767e-07
30,2022-12-31,1672484437972,2746813634.602411,9.387873683033137,43.047819,62.46,404.1274871020738,1.4712592147175994e-07
