,Date,Index,Timestamp,Marketcap,Price,TxFee,Bonded Ratio,FeeValue,AggValue
0,2022-03-01,15,1646175739846,9323956371.528309,32.41952335743807,122.880939,63.31,3983.741472094422,4.2725869934990256e-07
1,2022-03-02,40,1646262146117,9488327573.61519,32.65870379088835,167.463647,63.65,5469.145643114889,5.764077600275203e-07
2,2022-03-03,64,1646348544627,9867663160.65957,34.08930273104532,160.390037,63.64,5467.584526336561,5.540911193781668e-07
3,2022-03-04,88,1646434886931,9922904204.823092,34.27389726309358,155.114518,63.7,5316.37905394628,5.357684549007557e-07
4,2022-03-05,112,1646521403551,9088129184.616243,31.37439409737063,156.834381,63.76,4920.583677511177,5.414297681683927e-07
5,2022-03-06,136,1646607743360,8998488384.201626,31.041971698952075,165.33076,63.75,5132.192772886237,5.703394341094747e-07
6,2022-03-07,160,1646694108988,8471350045.854743,29.22303049695543,154.917095,63.75,4527.146991684742,5.34406790792454e-07
7,2022-03-08,184,1646780454185,8459445086.335833,29.130087867263203,144.163035,63.82,4199.481876761341,4.964252186641151e-07
8,2022-03-09,208,1646866922650,9028590561.03775,31.16279194297469,175.35576,63.82,5464.575064882203,6.052522847214043e-07
9,2022-03-10,232,1646953221376,8762155587.269901,30.08440561241101,159.22057,63.76,4790.056209719281,5.466755482724495e-07
10,2022-03-11,257,1647039687471,8232430450.807025,28.23425189087253,154.317197,63.87,4357.030611191399,5.292520401146273e-07
11,2022-03-12,281,1647126033479,8167851256.287565,28.147492800524613,176.631849,63.94,4971.74369807085,6.086966500820678e-07
12,2022-03-13,305,1647212557327,7967625102.019237,27.465478801983306,150.099688,63.88,4122.559798948308,5.174138775560018e-07
13,2022-03-14,329,1647298932407,7834577619.299883,27.02607667147301,229.851512,63.71,6211.984586365999,7.928933617382576e-07
14,2022-03-15,353,1647385328503,7991424445.720511,27.566923121449904,227.010526,63.73,6257.9817180019045,7.830871405351417e-07
15,2022-03-16,377,1647471707909,8412317099.915634,28.82443573895025,438.778952,63.6,12647.555705527937,1.5034568425451744e-06
16,2022-03-17,401,1647558106857,8412317099.915634,28.968674044924395,314.811425,63.61,9119.669556443163,1.0840853296572264e-06
17,2022-03-18,425,1647644476877,8343608295.136337,28.71584726399215,200.719657,63.66,5763.835013292893,6.908084379575623e-07
18,2022-03-19,449,1647730898053,8530924814.77963,29.35166533022716,180.303276,63.69,5292.201415095579,6.203549474409812e-07
19,2022-03-20,473,1647817345265,8334765352.992562,28.6404337189324,163.677853,63.7,4687.80470010366,5.624399130109312e-07
20,2022-03-21,497,1647903718411,8229360815.435077,28.29943950917675,164.993243,63.72,4669.2162997014,5.673850502391108e-07
21,2022-03-22,521,1647990186041,8392074012.314442,28.685467277236707,171.003904,63.73,4905.326892471728,5.845190217905255e-07
22,2022-03-23,545,1648076634183,8165977230.96765,28.09636326237008,163.160697,63.79,4584.2222130534965,5.613807243631361e-07
23,2022-03-24,569,1648162963629,8515786281.524929,29.17173646065497,198.570524,63.89,5792.646994982163,6.802245621815756e-07
24,2022-03-25,593,1648249280944,8639373640.471828,29.68840718020856,259.61566,63.9,7707.575424438584,8.921451652851126e-07
25,2022-03-26,617,1648335685400,8371075361.709149,28.823577301621967,196.036172,63.92,5650.463757556059,6.749985531610823e-07
26,2022-03-27,641,1648422126907,8585911761.331486,29.46113565481801,203.443822,63.94,5993.686038076648,6.980838150550897e-07
27,2022-03-28,665,1648508718087,9060119673.094452,31.31964651360551,225.099489,63.94,7050.036425873232,7.78139437474485e-07
28,2022-03-29,689,1648594863643,9123671376.229448,31.34256560465646,241.370331,63.85,7565.165434385145,8.291799564477092e-07
29,2022-03-30,714,1648681346462,9066402455.699375,31.12168951901542,250.214635,63.34,7787.102183583768,8.588965933989169e-07
30,2022-03-31,721,1648706559239,8912308768.359646,30.61800111442888,54.305681,59.91,1662.731401377819,1.865657311246694e-07
