,Timestamp,Bonded_Ratio,Date
0,1661990400,66.11,2022-09-01
1,1662076800,66.3,2022-09-02
2,1662163200,66.21,2022-09-03
3,1662249600,66.17,2022-09-04
4,1662336000,66.17,2022-09-05
5,1662422400,66.11,2022-09-06
6,1662508800,66.13,2022-09-07
7,1662595200,66.17,2022-09-08
8,1662681600,66.07,2022-09-09
9,1662768000,66.19,2022-09-10
10,1662854400,66.21,2022-09-11
11,1662940800,66.26,2022-09-12
12,1663027200,66.38,2022-09-13
13,1663113600,66.39,2022-09-14
14,1663200000,66.54,2022-09-15
15,1663286400,66.39,2022-09-16
16,1663372800,66.29,2022-09-17
17,1663459200,66.32,2022-09-18
18,1663545600,66.31,2022-09-19
19,1663632000,66.28,2022-09-20
20,1663718400,66.19,2022-09-21
21,1663804800,66.14,2022-09-22
22,1663891200,66.28,2022-09-23
23,1663977600,66.39,2022-09-24
24,1664064000,66.38,2022-09-25
25,1664150400,66.38,2022-09-26
26,1664236800,66.38,2022-09-27
27,1664323200,66.32,2022-09-28
28,1664409600,66.33,2022-09-29
29,1664496000,66.23,2022-09-30
