,Metric,Yield
0,P_ATOM,-0.1038392836371374
1,M_ATOM,-0.1036918735358193
2,P_OSMO,-0.3100648509943146
3,M_OSMO,-0.2874677366342806
4,P_JUNO,-0.39373212679218
5,M_JUNO,-0.380382188724452
6,P_ROWAN,-0.6592582862257895
7,M_ROWAN,-0.6533521668349683
8,P_EVMOS,-0.5617213130688884
9,M_EVMOS,-0.5311155611006129
10,P_STARS,-0.4050968819336896
11,M_STARS,-0.3846258197374183
12,P_AKASH,-0.2508040317349456
13,M_AKASH,-0.245011284165472
14,P_SECRET,-0.2588413232285151
15,M_SECRET,-0.246214702288398
16,P_KAVA,-0.36520780292155
17,M_KAVA,-0.3119852253840424
18,P_ETH,-0.069332951748627
19,M_ETH,-0.068884651675673
20,P_BTC,-0.0327531785763244
21,M_BTC,-0.0313437128079733
