date,Cosmos Ecosystem,$ATOM,Cosmos ATOM,Cosmos Network,Cosmos IBC,isPartial
2022-12-08 03:00:00,0,0,37,0,15,False
2022-12-08 04:00:00,0,28,14,0,0,False
2022-12-08 05:00:00,0,0,48,0,14,False
2022-12-08 06:00:00,0,0,25,26,26,False
2022-12-08 07:00:00,41,0,35,16,0,False
2022-12-08 08:00:00,39,0,0,0,15,False
2022-12-08 09:00:00,0,0,47,41,0,False
2022-12-08 10:00:00,0,0,32,19,29,False
2022-12-08 11:00:00,0,27,14,0,0,False
2022-12-08 12:00:00,0,0,24,14,0,False
2022-12-08 13:00:00,15,0,33,0,0,False
2022-12-08 14:00:00,0,0,31,11,0,False
2022-12-08 15:00:00,0,0,26,37,0,False
2022-12-08 16:00:00,8,9,34,19,0,False
2022-12-08 17:00:00,0,0,28,9,7,False
2022-12-08 18:00:00,12,0,55,13,16,False
2022-12-08 19:00:00,0,0,34,0,0,False
2022-12-08 20:00:00,0,0,35,13,0,False
2022-12-08 21:00:00,13,0,45,15,0,False
2022-12-08 22:00:00,0,0,30,44,0,False
2022-12-08 23:00:00,0,0,0,25,15,False
2022-12-09 00:00:00,20,0,0,23,0,False
2022-12-09 01:00:00,12,28,19,0,0,False
2022-12-09 02:00:00,0,0,23,0,0,False
2022-12-09 03:00:00,26,0,20,0,43,False
2022-12-09 04:00:00,17,0,58,0,27,False
2022-12-09 05:00:00,0,0,13,0,0,False
2022-12-09 06:00:00,44,0,49,48,17,False
2022-12-09 07:00:00,0,16,49,16,15,False
2022-12-09 08:00:00,0,0,31,0,0,False
2022-12-09 09:00:00,0,0,37,17,0,False
2022-12-09 10:00:00,0,0,43,0,0,False
2022-12-09 11:00:00,22,0,45,0,0,False
2022-12-09 12:00:00,0,0,48,0,0,False
2022-12-09 13:00:00,0,36,19,11,0,False
2022-12-09 14:00:00,10,0,0,0,0,False
2022-12-09 15:00:00,0,0,37,0,0,False
2022-12-09 16:00:00,0,0,12,0,0,False
2022-12-09 17:00:00,0,0,29,0,0,False
2022-12-09 18:00:00,0,0,17,12,0,False
2022-12-09 19:00:00,0,0,28,16,0,False
2022-12-09 20:00:00,16,21,26,0,18,False
2022-12-09 21:00:00,0,0,32,25,14,False
2022-12-09 22:00:00,12,0,67,0,0,False
2022-12-09 23:00:00,0,0,32,32,0,False
2022-12-10 00:00:00,0,0,17,18,0,False
2022-12-10 01:00:00,0,0,43,18,0,False
2022-12-10 02:00:00,0,0,0,0,0,False
2022-12-10 03:00:00,19,0,22,0,0,False
2022-12-10 04:00:00,64,0,47,30,0,False
2022-12-10 05:00:00,0,0,21,0,0,False
2022-12-10 06:00:00,0,0,23,30,0,False
2022-12-10 07:00:00,22,0,35,0,0,False
2022-12-10 08:00:00,0,0,16,23,15,False
2022-12-10 09:00:00,0,15,40,0,13,False
2022-12-10 10:00:00,0,0,29,23,25,False
2022-12-10 11:00:00,33,0,43,0,0,False
2022-12-10 12:00:00,15,0,33,0,20,False
2022-12-10 13:00:00,0,0,0,26,14,False
2022-12-10 14:00:00,0,0,60,0,0,False
2022-12-10 15:00:00,0,22,34,0,0,False
2022-12-10 16:00:00,0,0,21,9,27,False
2022-12-10 17:00:00,18,0,83,12,0,False
2022-12-10 18:00:00,0,0,48,10,0,False
2022-12-10 19:00:00,0,0,31,0,0,False
2022-12-10 20:00:00,0,0,35,11,0,False
2022-12-10 21:00:00,10,0,63,10,34,False
2022-12-10 22:00:00,0,0,42,0,0,False
2022-12-10 23:00:00,0,0,15,0,0,False
2022-12-11 00:00:00,0,14,0,15,0,False
2022-12-11 01:00:00,0,0,24,36,24,False
2022-12-11 02:00:00,0,0,21,0,0,False
2022-12-11 03:00:00,0,18,42,0,0,False
2022-12-11 04:00:00,28,0,41,0,0,False
2022-12-11 05:00:00,0,0,0,20,0,False
2022-12-11 06:00:00,0,0,45,0,0,False
2022-12-11 07:00:00,0,0,42,19,0,False
2022-12-11 08:00:00,0,0,0,0,0,False
2022-12-11 09:00:00,19,10,26,19,0,False
2022-12-11 10:00:00,0,0,51,14,0,False
2022-12-11 11:00:00,14,0,100,0,41,False
2022-12-11 12:00:00,0,0,21,0,0,False
2022-12-11 13:00:00,0,0,19,0,0,False
2022-12-11 14:00:00,8,0,14,18,11,False
2022-12-11 15:00:00,0,0,26,0,0,False
2022-12-11 16:00:00,0,12,37,0,0,False
2022-12-11 17:00:00,11,0,23,10,0,False
2022-12-11 18:00:00,0,0,18,0,0,False
2022-12-11 19:00:00,0,0,30,0,11,False
2022-12-11 20:00:00,0,15,35,0,0,False
2022-12-11 21:00:00,0,0,36,17,0,False
2022-12-11 22:00:00,16,0,0,36,0,False
2022-12-11 23:00:00,0,0,0,33,0,False
2022-12-12 00:00:00,0,0,36,23,0,False
2022-12-12 01:00:00,0,0,28,0,18,False
2022-12-12 02:00:00,0,0,0,15,0,False
2022-12-12 03:00:00,0,0,0,0,0,False
2022-12-12 04:00:00,0,0,18,18,25,False
2022-12-12 05:00:00,0,0,31,20,0,False
2022-12-12 06:00:00,0,0,0,0,25,False
2022-12-12 07:00:00,27,0,32,21,33,False
2022-12-12 08:00:00,0,0,12,45,0,False
2022-12-12 09:00:00,12,0,32,37,12,False
2022-12-12 10:00:00,0,0,33,23,38,False
2022-12-12 11:00:00,0,18,21,17,0,False
2022-12-12 12:00:00,27,13,13,16,0,False
2022-12-12 13:00:00,0,0,33,38,0,False
2022-12-12 14:00:00,17,7,15,11,0,False
2022-12-12 15:00:00,18,0,43,0,7,False
2022-12-12 16:00:00,0,0,46,23,0,False
2022-12-12 17:00:00,7,0,30,11,0,False
2022-12-12 18:00:00,25,0,37,0,11,False
2022-12-12 19:00:00,0,10,56,19,19,False
2022-12-12 20:00:00,0,0,55,25,0,False
2022-12-12 21:00:00,19,0,28,10,0,False
2022-12-12 22:00:00,0,0,46,12,0,False
2022-12-12 23:00:00,20,0,41,12,0,False
2022-12-13 00:00:00,0,0,63,0,20,False
2022-12-13 01:00:00,0,0,40,26,19,False
2022-12-13 02:00:00,0,0,31,12,0,False
2022-12-13 03:00:00,12,0,26,0,15,False
2022-12-13 04:00:00,0,0,20,21,0,False
2022-12-13 05:00:00,0,18,26,0,16,False
2022-12-13 06:00:00,0,0,0,0,0,False
2022-12-13 07:00:00,37,16,53,0,0,False
2022-12-13 08:00:00,0,0,39,21,0,False
2022-12-13 09:00:00,14,0,34,20,0,False
2022-12-13 10:00:00,20,0,63,0,19,False
2022-12-13 11:00:00,34,0,13,14,12,False
2022-12-13 12:00:00,14,0,24,14,11,False
2022-12-13 13:00:00,11,0,46,13,25,False
2022-12-13 14:00:00,0,0,38,17,19,False
2022-12-13 15:00:00,0,0,12,20,0,False
2022-12-13 16:00:00,0,16,28,16,0,False
2022-12-13 17:00:00,0,0,20,10,8,False
2022-12-13 18:00:00,0,0,25,16,0,False
2022-12-13 19:00:00,20,0,39,14,0,False
2022-12-13 20:00:00,13,0,35,0,0,False
2022-12-13 21:00:00,15,0,43,0,0,False
2022-12-13 22:00:00,0,24,67,0,0,False
2022-12-13 23:00:00,0,12,0,29,14,False
2022-12-14 00:00:00,0,0,33,0,0,False
2022-12-14 01:00:00,0,0,23,0,0,False
2022-12-14 02:00:00,0,0,0,0,0,False
2022-12-14 03:00:00,0,28,13,73,18,False
2022-12-14 04:00:00,0,0,0,0,12,False
2022-12-14 05:00:00,11,0,34,16,0,False
2022-12-14 06:00:00,0,0,54,0,25,False
2022-12-14 07:00:00,34,0,18,17,19,False
2022-12-14 08:00:00,0,16,40,13,0,False
2022-12-14 09:00:00,0,0,27,20,0,False
2022-12-14 10:00:00,0,0,47,0,0,False
2022-12-14 11:00:00,0,0,31,18,0,False
2022-12-14 12:00:00,0,0,30,25,8,False
2022-12-14 13:00:00,0,0,15,0,0,False
2022-12-14 14:00:00,0,0,34,10,10,False
2022-12-14 15:00:00,0,8,21,0,0,False
2022-12-14 16:00:00,0,0,31,10,7,False
2022-12-14 17:00:00,0,0,32,23,0,False
2022-12-14 18:00:00,9,0,23,11,0,False
2022-12-14 19:00:00,0,0,11,7,0,False
2022-12-14 20:00:00,12,21,29,12,0,False
2022-12-14 21:00:00,0,0,8,8,0,False
2022-12-14 22:00:00,0,21,30,36,10,False
2022-12-14 23:00:00,0,0,54,11,0,False
2022-12-15 00:00:00,0,47,49,0,0,False
2022-12-15 01:00:00,0,0,28,0,0,False
2022-12-15 02:00:00,0,0,0,0,0,True
