evm_date,evm_sum
2022-12-19,50.35294117647059
2022-12-20,46.333333333333336
2022-12-21,39.083333333333336
2022-12-22,54.75
2022-12-23,54.958333333333336
2022-12-24,48.041666666666664
2022-12-25,50.083333333333336
2022-12-26,48.416666666666664
2022-12-27,42.791666666666664
2022-12-28,39.333333333333336
2022-12-29,41.916666666666664
2022-12-30,42.375
2022-12-31,35.25
2023-01-01,39.25
2023-01-02,33.416666666666664
2023-01-03,38.75
2023-01-04,48.458333333333336
2023-01-05,37.166666666666664
2023-01-06,55.625
2023-01-07,57.333333333333336
2023-01-08,44.708333333333336
2023-01-09,49.875
2023-01-10,39.583333333333336
2023-01-11,45.833333333333336
2023-01-12,46.791666666666664
2023-01-13,52.416666666666664
2023-01-14,56.041666666666664
2023-01-15,41.208333333333336
2023-01-16,45.142857142857146
